Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,0,0,0,1,0,0,0
0.240584950,1,0,0,0,1,0,0,1
0.275511050,0,1,0,0,1,0,0,1
0.275537550,0,1,0,0,0,0,1,0
0.275537800,0,1,0,0,0,0,0,1
0.275538200,0,1,0,0,0,1,1,0
0.275539050,0,1,0,0,1,1,1,0
0.275543800,1,1,0,0,1,1,1,0
0.275543850,1,0,0,0,1,0,0,0
0.649471250,1,0,0,0,0,1,0,0
0.650420850,1,0,0,0,1,0,1,0
0.650422650,1,0,0,0,0,0,0,1
0.650445750,1,0,0,0,1,1,0,0
0.775524100,0,1,0,0,1,0,0,1
0.775550500,0,1,0,0,0,0,1,0
0.775550750,0,1,0,0,0,0,0,1
0.775551050,0,1,0,0,0,1,1,1
0.775551100,0,1,0,0,0,1,1,0
0.775551950,0,1,0,0,1,1,1,0
0.775556550,1,1,0,0,1,1,1,0
0.775556600,1,0,0,0,1,0,0,0
1.240590650,1,0,0,0,1,0,0,1
1.275536700,0,1,0,0,1,0,0,1
1.275563050,0,1,0,0,0,0,1,0
1.275563300,0,1,0,0,0,0,0,1
1.275563650,0,1,0,0,0,1,1,0
1.275564450,0,1,0,0,1,1,1,0
1.275569150,1,0,0,0,1,0,0,0
1.649484300,1,0,0,0,1,1,0,0
1.649484350,1,0,0,0,0,1,0,0
1.650433400,1,0,0,0,1,0,1,0
1.650435150,1,0,0,0,0,0,0,1
1.650458300,1,0,0,0,1,1,0,0
1.775551950,1,1,0,0,1,1,0,1
1.775552000,0,1,0,0,1,0,0,1
1.775578350,0,1,0,0,1,0,1,1
1.775578400,0,1,0,0,0,0,1,0
1.775578750,0,1,0,0,0,0,0,1
1.775579050,0,1,0,0,0,1,1,0
1.775580250,0,1,0,0,1,1,1,0
1.775584500,1,0,0,0,1,0,0,0
2.240606250,1,0,0,0,1,0,0,1
2.275565200,0,1,0,0,1,0,0,1
2.275591000,0,1,0,0,0,0,1,0
2.275591250,0,1,0,0,0,0,0,1
2.275591600,0,1,0,0,0,1,1,0
2.275592800,0,1,0,0,1,1,1,0
2.275597200,1,0,0,0,1,0,0,0
2.649495850,1,0,0,0,0,1,0,0
2.650446050,1,0,0,0,1,0,1,0
2.650447650,1,0,0,0,0,0,1,1
2.650447700,1,0,0,0,0,0,0,1
2.650470750,1,0,0,0,1,1,0,0
2.775568800,0,1,0,0,1,0,0,1
2.775595900,0,1,0,0,0,0,1,0
2.775596150,0,1,0,0,0,0,0,1
2.775596500,0,1,0,0,0,1,1,0
2.775597700,0,1,0,0,1,1,1,0
2.775601750,1,0,0,0,1,0,0,0
3.240625100,1,0,0,0,1,0,0,1
3.275581700,0,1,0,0,1,0,0,1
3.275608350,0,1,0,0,0,0,1,0
3.275608600,0,1,0,0,0,0,0,1
3.275608950,0,1,0,0,0,1,1,0
3.275609800,0,1,0,0,1,1,1,0
3.275614100,1,0,0,0,1,0,0,0
3.649515550,1,0,0,0,0,1,0,0
3.650458100,1,0,0,0,1,1,1,0
3.650458150,1,0,0,0,1,0,1,0
3.650460100,1,0,0,0,0,0,0,1
3.650483400,1,0,0,0,1,1,0,0
3.775598400,0,1,0,0,1,0,0,1
3.775626350,0,1,0,0,0,0,1,0
3.775626500,0,1,0,0,0,0,0,1
3.775626750,0,1,0,0,0,1,1,0
3.775627600,0,1,0,0,1,1,1,0
3.775632250,1,1,0,0,1,1,1,0
3.775632300,1,0,0,0,1,0,0,0
4.240633150,1,0,0,0,1,0,0,1
4.275604800,0,1,0,0,1,0,0,1
4.275631100,0,1,0,0,0,0,1,0
4.275631350,0,1,0,0,0,0,0,1
4.275631700,0,1,0,0,0,1,1,0
4.275632500,0,1,0,0,1,1,1,0
4.275637050,1,0,0,0,1,0,0,0
4.649531450,1,0,0,0,0,1,0,0
4.650470700,1,0,0,0,1,0,1,0
4.650472400,1,0,0,0,0,0,0,1
4.650496200,1,0,0,0,1,1,0,0
4.775619900,0,1,0,0,1,0,0,1
4.775646700,0,1,0,0,0,0,1,0
4.775646950,0,1,0,0,0,0,0,1
4.775647300,0,1,0,0,0,1,1,0
4.775648200,0,1,0,0,1,1,1,0
4.775652500,1,0,0,0,1,0,0,0
5.240635800,1,0,0,0,1,0,0,1
5.275624600,0,1,0,0,1,0,0,1
5.275651200,0,1,0,0,0,0,1,0
5.275651450,0,1,0,0,0,0,0,1
5.275651800,0,1,0,0,0,1,1,0
5.275652700,0,1,0,0,1,1,1,0
5.275657250,1,0,0,0,1,0,0,0
5.649542500,1,0,0,0,0,1,0,0
5.650491600,1,0,0,0,1,0,1,0
5.650493300,1,0,0,0,0,0,0,1
5.650517750,1,0,0,0,1,1,0,0
5.775641750,0,1,0,0,1,0,0,1
5.775668650,0,1,0,0,0,0,1,0
5.775668850,0,1,0,0,0,0,0,1
