Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
7.323531000,0,1,0,0,0,1,1,0
7.323532200,0,1,0,0,1,1,1,0
7.323536300,1,0,0,0,1,0,0,0
7.689916300,1,0,0,0,1,1,0,0
7.689916350,1,0,0,0,0,1,0,0
7.690854500,1,0,0,0,1,0,1,0
7.690856200,1,0,0,0,0,0,0,1
7.690879500,1,0,0,0,1,1,0,0
7.823523550,0,1,0,0,1,0,0,1
7.823549900,0,1,0,0,0,0,1,1
7.823549950,0,1,0,0,0,0,1,0
7.823550150,0,1,0,0,0,0,0,1
7.823550500,0,1,0,0,0,1,1,0
7.823551350,0,1,0,0,1,1,1,0
7.823555300,1,1,0,0,1,0,0,0
7.823555350,1,0,0,0,1,0,0,0
8.282315650,1,0,0,0,1,0,0,1
8.323527750,0,1,0,0,1,0,0,1
8.323554350,0,1,0,0,0,0,1,0
8.323554600,0,1,0,0,0,0,0,1
8.323554950,0,1,0,0,0,1,1,1
8.323555000,0,1,0,0,0,1,1,0
8.323555800,0,1,0,0,1,1,1,0
8.323560200,1,0,0,0,1,0,0,0
8.689906450,1,0,0,0,0,1,0,0
8.690858650,1,0,0,0,1,0,1,0
8.690860650,1,0,0,0,0,0,0,1
8.690883900,1,0,0,0,1,1,0,0
8.823546400,1,1,0,0,1,1,0,1
8.823546450,0,1,0,0,1,0,0,1
8.823573050,0,1,0,0,0,0,1,0
8.823573300,0,1,0,0,0,0,0,1
8.823573650,0,1,0,0,0,1,1,0
8.823574500,0,1,0,0,1,1,1,0
8.823578550,1,0,0,0,1,0,0,0
9.282325750,1,0,0,0,1,0,0,1
9.323560100,1,1,0,0,1,0,0,1
9.323560150,0,1,0,0,1,0,0,1
9.323586200,0,1,0,0,1,0,1,1
9.323586250,0,1,0,0,0,0,1,0
9.323586450,0,1,0,0,0,0,0,1
9.323586800,0,1,0,0,0,1,1,1
9.323586850,0,1,0,0,0,1,1,0
9.323587650,0,1,0,0,1,1,1,0
9.323591750,1,0,0,0,1,0,0,0
9.689921500,1,0,0,0,0,1,0,0
9.690872150,1,0,0,0,1,1,1,0
9.690872200,1,0,0,0,1,0,1,0
9.690873800,1,0,0,0,1,0,1,1
9.690873850,1,0,0,0,0,0,0,1
9.690897500,1,0,0,0,1,1,0,0
9.823568800,0,1,0,0,1,0,0,1
9.823595300,0,1,0,0,0,0,1,0
9.823595650,0,1,0,0,0,0,0,1
9.823595950,0,1,0,0,0,1,1,1
9.823596000,0,1,0,0,0,1,1,0
9.823596800,0,1,0,0,1,1,1,0
9.823601150,1,0,0,0,1,0,0,0
10.282331800,1,0,0,0,1,0,0,1
10.323569550,1,1,0,0,1,0,0,1
10.323569600,0,1,0,0,1,0,0,1
10.323596150,0,1,0,0,1,0,1,1
10.323596200,0,1,0,0,0,0,1,0
10.323596450,0,1,0,0,0,0,0,1
10.323596750,0,1,0,0,0,1,1,1
10.323596800,0,1,0,0,0,1,1,0
10.323597600,0,1,0,0,1,1,1,0
10.323601900,1,0,0,0,1,0,0,0
10.689935150,1,0,0,0,0,1,0,0
10.690876100,1,0,0,0,1,0,1,0
10.690877750,1,0,0,0,0,0,1,1
10.690877800,1,0,0,0,0,0,0,1
10.690901500,1,0,0,0,1,1,0,0
10.823579450,0,1,0,0,1,0,0,1
10.823605900,0,1,0,0,0,0,1,0
10.823606150,0,1,0,0,0,0,0,1
10.823606500,0,1,0,0,0,1,1,0
10.823607400,0,1,0,0,1,1,1,0
10.823611750,1,0,0,0,1,0,0,0
11.282347350,1,0,0,0,1,0,0,1
11.323596000,0,1,0,0,1,0,0,1
11.323622450,0,1,0,0,0,0,1,0
11.323622700,0,1,0,0,0,0,0,1
11.323623050,0,1,0,0,0,1,1,0
11.323623850,0,1,0,0,1,1,1,0
11.323628200,1,0,0,0,1,0,0,0
11.689961400,1,0,0,0,0,1,0,0
11.690898500,1,0,0,0,1,0,1,0
11.690900500,1,0,0,0,0,0,0,1
11.690923700,1,0,0,0,1,1,0,1
