Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.000000000,1,0,0,0,1,0,1,1,1,1
0.000001750,1,0,0,0,1,0,1,0,1,1
0.000001900,0,1,0,0,1,0,1,0,1,1
0.000018300,0,1,0,0,1,0,1,1,1,1
0.000018450,1,0,0,0,1,0,1,1,1,1
0.000037450,1,0,0,0,1,0,1,0,1,1
0.000037600,0,1,0,0,1,0,1,0,1,1
0.000054100,0,1,0,0,1,0,1,1,1,1
0.000054300,1,0,0,0,1,0,1,1,1,1
0.000073550,1,0,0,0,1,0,1,0,1,1
0.000073700,0,1,0,0,1,0,1,0,1,1
0.000090000,0,1,0,0,1,0,1,1,1,1
0.000090150,1,0,0,0,1,0,1,1,1,1
0.000109500,1,0,0,0,1,0,1,0,1,1
0.000109650,1,1,0,0,1,0,1,0,1,1
0.000109700,0,1,0,0,1,0,1,0,1,1
0.000126050,0,1,0,0,1,0,1,1,1,1
0.000126200,1,0,0,0,1,0,1,1,1,1
0.000145200,1,0,0,0,1,0,1,0,1,1
0.000145350,0,1,0,0,1,0,1,0,1,1
0.000162100,0,1,0,0,1,0,1,1,1,1
0.000162250,1,0,0,0,1,0,1,1,1,1
0.000180950,1,0,0,0,1,0,1,0,1,1
0.000181150,0,1,0,0,1,0,1,0,1,1
0.000197850,0,1,0,0,1,0,1,1,1,1
0.000198000,1,0,0,0,1,0,1,1,1,1
0.000217000,1,0,0,0,1,0,1,0,1,1
0.000217150,1,1,0,0,1,0,1,0,1,1
0.000217200,0,1,0,0,1,0,1,0,1,1
0.000233600,0,1,0,0,1,0,1,1,1,1
0.000233750,1,1,0,0,1,0,1,1,1,1
0.000233800,1,0,0,0,1,0,1,1,1,1
0.000252500,1,0,0,0,1,0,1,0,1,1
0.000252650,0,1,0,0,1,0,1,0,1,1
0.000269150,0,1,0,0,1,0,1,1,1,1
0.000269350,1,0,0,0,1,0,1,1,1,1
0.000288600,1,0,0,0,1,0,1,0,1,1
0.000288750,0,1,0,0,1,0,1,0,1,1
0.000305350,0,1,0,0,1,0,1,1,1,1
