Time [s],Value,Parity Error,Framing Error
0.323413450000000,0x01,,
0.323499850000000,0x0A,,
0.323586250000000,0x02,,
0.323672650000000,0xDD,,
0.323759050000000,0x22,,
0.323845450000000,0x8A,,
0.323931850000000,0xA9,,
0.324018250000000,0x8F,,
0.324104650000000,0x02,,
0.324191050000000,0x77,,
0.324277500000000,0x69,,
0.324363900000000,0x00,,
0.823429500000000,0x01,,
0.823515900000000,0x0A,,
0.823602300000000,0x02,,
0.823688700000000,0xDE,,
0.823775100000000,0x22,,
0.823861500000000,0xF2,,
0.823947900000000,0xB0,,
0.824034300000000,0x8F,,
0.824120700000000,0x02,,
0.824207100000000,0x23,,
0.824293500000000,0xA0,,
0.824379900000000,0x00,,
1.323436850000000,0x01,,
1.323523250000000,0x0A,,
1.323609650000000,0x02,,
1.323696050000000,0xDE,,
1.323782450000000,0x22,,
1.323868850000000,0xF2,,
1.323955250000000,0xB0,,
1.324041650000000,0x8F,,
1.324128050000000,0x02,,
1.324214450000000,0x23,,
1.324300850000000,0xA0,,
1.324387250000000,0x00,,
1.823452850000000,0x01,,
1.823539250000000,0x0A,,
1.823625650000000,0x02,,
1.823712050000000,0xDF,,
1.823798450000000,0x22,,
1.823884850000000,0xDA,,
1.823971250000000,0xB8,,
1.824057650000000,0x8F,,
1.824144050000000,0x02,,
1.824230450000000,0x90,,
1.824316850000000,0x29,,
1.824403250000000,0x00,,
2.323460200000000,0x01,,
2.323546600000000,0x0A,,
2.323633000000000,0x02,,
2.323719400000000,0xDF,,
2.323805800000000,0x22,,
2.323892200000000,0xDA,,
2.323978600000000,0xB8,,
2.324065000000000,0x8F,,
2.324151400000000,0x02,,
2.324237800000000,0x90,,
2.324324200000000,0x29,,
2.324410600000000,0x00,,
2.823476150000000,0x01,,
2.823562550000000,0x0A,,
2.823648950000000,0x02,,
2.823735350000000,0xE0,,
2.823821750000000,0x22,,
2.823908150000000,0xC2,,
2.823994550000000,0xC0,,
2.824080950000000,0x8F,,
2.824167350000000,0x02,,
2.824253750000000,0x26,,
2.824340150000000,0xAA,,
2.824426550000000,0x00,,
3.323492100000000,0x01,,
3.323578500000000,0x0A,,
3.323664900000000,0x02,,
3.323751300000000,0xE0,,
3.323837700000000,0x22,,
3.323924100000000,0xC2,,
3.324010500000000,0xC0,,
3.324096950000000,0x8F,,
3.324183300000000,0x02,,
3.324269700000000,0x26,,
3.324356100000000,0xAA,,
3.324442550000000,0x00,,
3.823499450000000,0x01,,
3.823585850000000,0x0A,,
3.823672250000000,0x02,,
3.823758650000000,0xE1,,
3.823845050000000,0x22,,
3.823931450000000,0xAA,,
3.824017850000000,0xC8,,
3.824104250000000,0x8F,,
3.824190650000000,0x02,,
3.824277050000000,0x55,,
3.824363450000000,0x36,,
3.824449850000000,0x00,,
4.323506750000000,0x01,,
4.323593150000000,0x0A,,
4.323679550000000,0x02,,
4.323765950000000,0xE1,,
4.323852350000000,0x22,,
4.323938750000000,0xAA,,
4.324025150000000,0xC8,,
4.324111550000000,0x8F,,
4.324197950000000,0x02,,
4.324284350000000,0x55,,
4.324370750000000,0x36,,
4.324457150000000,0x00,,
4.823505400000000,0x01,,
4.823591800000000,0x0A,,
4.823678200000000,0x02,,
4.823764600000000,0xE2,,
4.823851000000000,0x22,,
4.823937400000000,0x92,,
4.824023800000000,0xD0,,
4.824110200000000,0x8F,,
4.824196600000000,0x02,,
4.824283000000000,0x01,,
4.824369400000000,0xBB,,
4.824455800000000,0x00,,
5.323512650000000,0x01,,
5.323599050000000,0x0A,,
5.323685450000000,0x02,,
5.323771850000000,0xE2,,
5.323858250000000,0x22,,
5.323944650000000,0x92,,
5.324031050000000,0xD0,,
5.324117450000000,0x8F,,
5.324203850000000,0x02,,
5.324290250000000,0x01,,
5.324376650000000,0xBB,,
5.324463050000000,0x00,,
5.823528550000000,0x01,,
5.823614950000000,0x0A,,
5.823701350000000,0x02,,
5.823787750000000,0xE3,,
5.823874150000000,0x22,,
5.823960550000000,0xFA,,
5.824046950000000,0xD7,,
5.824133350000000,0x8F,,
5.824219750000000,0x02,,
5.824306150000000,0x71,,
5.824392550000000,0x17,,
5.824478950000000,0x00,,
6.323527200000000,0x01,,
6.323613600000000,0x0A,,
6.323700000000000,0x02,,
6.323786400000000,0xE3,,
6.323872800000000,0x22,,
6.323959200000000,0xFA,,
6.324045600000000,0xD7,,
6.324132000000000,0x8F,,
6.324218400000000,0x02,,
6.324304800000000,0x71,,
6.324391200000000,0x17,,
6.324477600000000,0x00,,
6.823551700000000,0x01,,
6.823638100000000,0x0A,,
6.823724500000000,0x02,,
6.823810900000000,0xE4,,
6.823897300000000,0x22,,
6.823983700000000,0xE2,,
6.824070100000000,0xDF,,
6.824156500000000,0x8F,,
6.824242900000000,0x02,,
6.824329300000000,0xA4,,
6.824415700000000,0x91,,
6.824502100000000,0x00,,
7.323550300000000,0x01,,
7.323636700000000,0x0A,,
7.323723100000000,0x02,,
7.323809500000000,0xE4,,
7.323895900000000,0x22,,
7.323982300000000,0xE2,,
7.324068700000000,0xDF,,
7.324155100000000,0x8F,,
7.324241500000000,0x02,,
7.324327900000000,0xA4,,
7.324414300000000,0x91,,
7.324500700000000,0x00,,
7.823566150000000,0x01,,
7.823652550000000,0x0A,,
7.823738950000000,0x02,,
7.823825350000000,0xE5,,
7.823911750000000,0x22,,
7.823998150000000,0xCA,,
